"OrthoGroup","# Species","Genes","Alg.-Conn.","L_infantum.fasta","L_major.fasta","L_mexicana.fasta"
"OrthoGroup_11",3,8,0.602,"LINF_050010000,LINF_050010100,LINF_050010200","LmjF.05.0500,LmjF.05.0510","LmxM.05.0500,LmxM.05.0510,LmxM.05.0510b"
"OrthoGroup_12",3,8,0.599,"LINF_090015200,LINF_310026800,LINF_310028300","LmjF.31.1900,LmjF.31.2030","LmxM.09.0891,LmxM.30.1900,LmxM.30.2030"
"OrthoGroup_13",3,8,0.598,"LINF_300011800,LINF_300011900,LINF_300012000","LmjF.30.0670,LmjF.30.0680,LmjF.30.0690","LmxM.29.0670,LmxM.29.0690"
"OrthoGroup_14",3,8,0.488,"LINF_150019900,LINF_150020000,LINF_150020100,LINF_150020200","LmjF.15.1230,LmjF.15.1240","LmxM.15.1230,LmxM.15.1240"
"OrthoGroup_15",3,8,0.476,"LINF_150018600,LINF_150019000","LmjF.15.1040,LmjF.15.1080,LmjF.15.1120,LmjF.15.1160","LmxM.15.1040,LmxM.15.1160"
"OrthoGroup_16",3,8,0.411,"LINF_350027400,LINF_350027500,LINF_350027300","LmjF.35.2210,LmjF.35.2220","LmxM.34.2210,LmxM.34.2221,LmxM.34.2220"
"OrthoGroup_17",3,7,0.568,"LINF_280015700,LINF_280015900","LmjF.28.1010,LmjF.28.1030","LmxM.28.1010,LmxM.28.1011,LmxM.28.1030"
"OrthoGroup_18",3,7,0.551,"LINF_290016600,LINF_290016700,LINF_290016800","LmjF.29.1070,LmjF.29.1090","LmxM.08_29.1070,LmxM.08_29.1090"
"OrthoGroup_19",3,7,0.55,"LINF_250012900,LINF_250013000,LINF_250013100","LmjF.25.0720,LmjF.25.0730","LmxM.25.0720,LmxM.25.0730"
"OrthoGroup_20",3,7,0.547,"LINF_170007600,LINF_170007700,LINF_170007800","LmjF.17.0230,LmjF.17.0235,LmjF.17.0237","LmxM.17.0237"
"OrthoGroup_21",3,7,0.546,"LINF_320043700,LINF_320043800,LINF_320043900","LmjF.32.3650,LmjF.32.3660,LmjF.32.3670","LmxM.31.3650"
"OrthoGroup_22",3,7,0.541,"LINF_260021300,LINF_260021400,LINF_260021500","LmjF.26.1630,LmjF.26.1640","LmxM.26.1630,LmxM.26.1640"
"OrthoGroup_23",3,7,0.54,"LINF_160020200,LINF_160020300,LINF_160020400","LmjF.16.1425,LmjF.16.1427,LmjF.16.1430","LmxM.16.1430"
"OrthoGroup_24",3,7,0.479,"LINF_230018650,LINF_230018800","LmjF.23.1050,LmjF.23.1080,LmjF.23.1086","LmxM.23.1050,LmxM.23.1061"
"OrthoGroup_25",3,7,0.423,"LINF_310009900","LmjF.31.0460.1,LmjF.31.0460.2","LmxM.30.0460,LmxM.30.0460a,LmxM.30.0460c,LmxM.30.0460e"
"OrthoGroup_26",3,7,0.406,"LINF_360006800,LINF_360006900,LINF_360007000,LINF_360007100","LmjF.36.0180,LmjF.36.0190","LmxM.36.0180"
"OrthoGroup_27",3,7,0.116,"LINF_290021500,LINF_290021600,LINF_290021700,LINF_290021800","LmjF.29.1520,LmjF.29.1420","LmxM.08_29.1520"
"OrthoGroup_28",3,6,0.667,"LINF_210027700,LINF_210027800","LmjF.21.1790,LmjF.21.1800","LmxM.21.1790,LmxM.21.1800"
"OrthoGroup_29",3,6,0.65,"LINF_220012300,LINF_220014500","LmjF.22.0690,LmjF.22.0850","LmxM.22.0690,LmxM.22.0850"
"OrthoGroup_30",3,6,0.647,"LINF_070012400,LINF_360018300","LmjF.07.0680,LmjF.36.1250","LmxM.07.0680,LmxM.36.1250"
"OrthoGroup_31",3,6,0.647,"LINF_110017300,LINF_110017500","LmjF.11.1110,LmjF.11.1130","LmxM.11.1130,LmxM.11.1130partial"
"OrthoGroup_32",3,6,0.647,"LINF_360031200,LINF_360031300","LmjF.36.2380,LmjF.36.2390","LmxM.36.2380,LmxM.36.2390"
"OrthoGroup_33",3,6,0.646,"LINF_160017500,LINF_290031400","LmjF.16.1170,LmjF.29.2370","LmxM.08_29.2370,LmxM.16.1170"
"OrthoGroup_34",3,6,0.646,"LINF_310014500,LINF_310014600","LmjF.31.0870,LmjF.31.0880","LmxM.30.0870,LmxM.30.0880"
"OrthoGroup_35",3,6,0.643,"LINF_280010400,LINF_300037600","LmjF.28.0540,LmjF.30.3200","LmxM.28.0540,LmxM.29.3200"
"OrthoGroup_36",3,6,0.642,"LINF_030007300,LINF_260027600","LmjF.03.0250,LmjF.26.2220","LmxM.03.0250,LmxM.26.2220"
"OrthoGroup_37",3,6,0.642,"LINF_130022200,LINF_330042500","LmjF.13.1670,LmjF.33.3230","LmxM.13.1670,LmxM.32.3230"
"OrthoGroup_38",3,6,0.642,"LINF_260028800,LINF_260028900","LmjF.26.2330,LmjF.26.2340","LmxM.26.2330,LmxM.26.2340"
"OrthoGroup_39",3,6,0.642,"LINF_270024900,LINF_270025000","LmjF.27.1805,LmjF.27.1810","LmxM.27.1805,LmxM.27.1810"
"OrthoGroup_40",3,6,0.642,"LINF_310039500,LINF_310039600","LmjF.31.3060,LmjF.31.3070","LmxM.30.3060,LmxM.30.3070"
"OrthoGroup_41",3,6,0.642,"LINF_350043000,LINF_350043200","LmjF.35.3760,LmjF.35.3780","LmxM.34.3760,LmxM.34.3780"
"OrthoGroup_42",3,6,0.642,"LINF_360041100,LINF_360053500","LmjF.36.3270,LmjF.36.4420","LmxM.36.3270,LmxM.36.4420"
"OrthoGroup_43",3,6,0.641,"LINF_070010500,LINF_070010600","LmjF.07.0500,LmjF.07.0510","LmxM.07.0500,LmxM.07.0510"
"OrthoGroup_44",3,6,0.641,"LINF_150007100,LINF_340014400","LmjF.15.0200,LmjF.34.0860","LmxM.15.0200,LmxM.33.0860"
"OrthoGroup_45",3,6,0.641,"LINF_210018200,LINF_210018300","LmjF.21.1060,LmjF.21.1070","LmxM.21.1060,LmxM.21.1070"
"OrthoGroup_46",3,6,0.641,"LINF_240026700,LINF_350021700","LmjF.24.2050,LmjF.35.1670","LmxM.24.2050,LmxM.34.1670"
"OrthoGroup_47",3,6,0.641,"LINF_350038200,LINF_350038300","LmjF.35.3280,LmjF.35.3290","LmxM.34.3280,LmxM.34.3290"
"OrthoGroup_48",3,6,0.641,"LINF_360016500,LINF_360016800","LmjF.36.1070,LmjF.36.1100","LmxM.36.1070,LmxM.36.1100"
"OrthoGroup_49",3,6,0.64,"LINF_110015600,LINF_110015700","LmjF.11.0960,LmjF.11.0970","LmxM.11.0960,LmxM.11.0970"
"OrthoGroup_50",3,6,0.64,"LINF_130010500,LINF_360054400","LmjF.13.0560,LmjF.36.4510","LmxM.13.0560,LmxM.36.4510"
"OrthoGroup_51",3,6,0.64,"LINF_180019400,LINF_360046300","LmjF.18.1400,LmjF.36.3740","LmxM.18.1400,LmxM.36.3740"
"OrthoGroup_52",3,6,0.64,"LINF_190006800,LINF_190006900","LmjF.19.0200,LmjF.19.0210","LmxM.19.0200,LmxM.19.0210"
"OrthoGroup_53",3,6,0.64,"LINF_210007800,LINF_210007900","LmjF.21.0240,LmjF.21.0250","LmxM.21.0240,LmxM.21.0250"
"OrthoGroup_54",3,6,0.64,"LINF_250028300,LINF_250028400","LmjF.25.2130,LmjF.25.2140","LmxM.25.2130,LmxM.25.2140"
"OrthoGroup_55",3,6,0.64,"LINF_280032800,LINF_280032900","LmjF.28.2555,LmjF.28.2560","LmxM.28.2555,LmxM.28.2560"
"OrthoGroup_56",3,6,0.64,"LINF_360036600,LINF_360036700","LmjF.36.2860,LmjF.36.2870","LmxM.36.2860,LmxM.36.2870"
"OrthoGroup_57",3,6,0.64,"LINF_360046900,LINF_360047000","LmjF.36.3800,LmjF.36.3810","LmxM.36.3800,LmxM.36.3810"
"OrthoGroup_58",3,6,0.639,"LINF_040009700,LINF_220005300","LmjF.04.0470,LmjF.22.0030","LmxM.04.0470,LmxM.22.0030"
"OrthoGroup_59",3,6,0.639,"LINF_220021400,LINF_220021800","LmjF.22.1520,LmjF.22.1560","LmxM.22.1520,LmxM.22.1560"
"OrthoGroup_60",3,6,0.639,"LINF_260013700,LINF_260013800","LmjF.26.0880,LmjF.26.0890","LmxM.26.0880,LmxM.26.0890"
"OrthoGroup_61",3,6,0.639,"LINF_320014400,LINF_350010700","LmjF.32.0880,LmjF.35.0600","LmxM.31.0880,LmxM.34.0600"
"OrthoGroup_62",3,6,0.638,"LINF_100005600,LINF_340030100","LmjF.10.0070,LmjF.34.2470","LmxM.10.0070,LmxM.33.2470"
"OrthoGroup_63",3,6,0.638,"LINF_180011500,LINF_360046500","LmjF.18.0620,LmjF.36.3760","LmxM.18.0620,LmxM.36.3760"
"OrthoGroup_64",3,6,0.638,"LINF_200021000,LINF_210024100","LmjF.20.1650,LmjF.21.1550","LmxM.20.1650,LmxM.21.1550"
"OrthoGroup_65",3,6,0.637,"LINF_140010200,LINF_140010300","LmjF.14.0480,LmjF.14.0490","LmxM.14.0480,LmxM.14.0490"
"OrthoGroup_66",3,6,0.637,"LINF_160009700,LINF_340044000","LmjF.16.0460,LmjF.34.3650","LmxM.16.0460,LmxM.33.3650"
"OrthoGroup_67",3,6,0.637,"LINF_210018100,LINF_300039100","LmjF.21.1050,LmjF.30.3340","LmxM.21.1050,LmxM.29.3340"
"OrthoGroup_68",3,6,0.637,"LINF_210027600,LINF_350025100","LmjF.21.1780,LmjF.35.2010","LmxM.21.1780,LmxM.34.2010"
"OrthoGroup_69",3,6,0.637,"LINF_350043300,LINF_350043400","LmjF.35.3790,LmjF.35.3800","LmxM.34.3790,LmxM.34.3800"
"OrthoGroup_70",3,6,0.637,"LINF_360059600,LINF_360060700","LmjF.36.5010,LmjF.36.5120","LmxM.36.5010,LmxM.36.5120"
"OrthoGroup_71",3,6,0.636,"LINF_040012600,LINF_040014500","LmjF.04.0750,LmjF.04.0950","LmxM.04.0750,LmxM.04.0950"
"OrthoGroup_72",3,6,0.636,"LINF_110017900,LINF_290025400","LmjF.11.1190,LmjF.29.1800","LmxM.08_29.1800,LmxM.11.1190"
"OrthoGroup_73",3,6,0.636,"LINF_190008800,LINF_330041600","LmjF.19.0390,LmjF.33.3150","LmxM.19.0390,LmxM.32.3150"
"OrthoGroup_74",3,6,0.636,"LINF_240028300,LINF_350027100","LmjF.24.2210,LmjF.35.2190","LmxM.24.2210,LmxM.34.2190"
"OrthoGroup_75",3,6,0.636,"LINF_250018100,LINF_340009500","LmjF.25.1190,LmjF.34.0440","LmxM.25.1190,LmxM.33.0440"
"OrthoGroup_76",3,6,0.636,"LINF_260011200,LINF_260011400","LmjF.26.0620,LmjF.26.0640","LmxM.26.0620,LmxM.26.0640"
"OrthoGroup_77",3,6,0.636,"LINF_280034700,LINF_280034800","LmjF.28.2740,LmjF.28.2750","LmxM.28.2740,LmxM.28.2740a"
"OrthoGroup_78",3,6,0.635,"LINF_260006600,LINF_260006700","LmjF.26.0170,LmjF.26.0180","LmxM.26.0170,LmxM.26.0180"
"OrthoGroup_79",3,6,0.635,"LINF_290032300,LINF_290032400","LmjF.29.2460,LmjF.29.2470","LmxM.08_29.2460,LmxM.08_29.2461"
"OrthoGroup_80",3,6,0.634,"LINF_150017600,LINF_330016500","LmjF.15.0950,LmjF.33.0920","LmxM.15.0950,LmxM.32.0920"
"OrthoGroup_81",3,6,0.634,"LINF_320033900,LINF_320034100","LmjF.32.2690,LmjF.32.2710","LmxM.31.2690,LmxM.31.2710"
"OrthoGroup_82",3,6,0.633,"LINF_210013000,LINF_350024100","LmjF.21.0730,LmjF.35.1920","LmxM.21.0730,LmxM.34.1920"
"OrthoGroup_83",3,6,0.633,"LINF_210028000,LINF_360025800","LmjF.21.1820,LmjF.36.1925","LmxM.21.1820,LmxM.36.1925"
"OrthoGroup_84",3,6,0.633,"LINF_360015100,LINF_360015200","LmjF.36.0930,LmjF.36.0940","LmxM.36.0930,LmxM.36.0940"
"OrthoGroup_85",3,6,0.632,"LINF_240005200,LINF_320009400","LmjF.24.0040,LmjF.32.0430","LmxM.24.0040,LmxM.31.0430"
"OrthoGroup_86",3,6,0.632,"LINF_240020500,LINF_240020600","LmjF.24.1500,LmjF.24.1510","LmxM.24.1500,LmxM.24.1500a"
"OrthoGroup_87",3,6,0.632,"LINF_360042500,LINF_360042600","LmjF.36.3390,LmjF.36.3400","LmxM.36.3390,LmxM.36.3400"
"OrthoGroup_88",3,6,0.63,"LINF_060011300,LINF_060011400","LmjF.06.0570,LmjF.06.0580","LmxM.06.0570,LmxM.06.0580"
"OrthoGroup_89",3,6,0.63,"LINF_220009800,LINF_220010100","LmjF.22.0420,LmjF.22.0460","LmxM.22.0420,LmxM.22.0460"
"OrthoGroup_90",3,6,0.63,"LINF_240026900,LINF_240027000","LmjF.24.2070,LmjF.24.2080","LmxM.24.2070,LmxM.24.2080"
"OrthoGroup_91",3,6,0.629,"LINF_130017200,LINF_130017300","LmjF.13.1220,LmjF.13.1230","LmxM.13.1220,LmxM.13.1230"
"OrthoGroup_92",3,6,0.629,"LINF_150018200,LINF_330014100","LmjF.15.1000,LmjF.33.0720","LmxM.15.1000,LmxM.32.0720"
"OrthoGroup_93",3,6,0.629,"LINF_160018900,LINF_160019000","LmjF.16.1310,LmjF.16.1320","LmxM.16.1310,LmxM.16.1320"
"OrthoGroup_94",3,6,0.627,"LINF_300042300,LINF_350024000","LmjF.30.3650,LmjF.35.1910","LmxM.29.3650,LmxM.34.1910"
"OrthoGroup_95",3,6,0.626,"LINF_140019100,LINF_360011600","LmjF.14.1270,LmjF.36.0600","LmxM.14.1270,LmxM.36.0600"
"OrthoGroup_96",3,6,0.626,"LINF_290036400,LINF_340033900","LmjF.29.2860,LmjF.34.2780","LmxM.08_29.2860,LmxM.33.2780"
"OrthoGroup_97",3,6,0.625,"LINF_300014100,LINF_300014200","LmjF.30.0850,LmjF.30.0860","LmxM.29.0850,LmxM.29.0860"
"OrthoGroup_98",3,6,0.623,"LINF_280028800,LINF_280031800","LmjF.28.2205,LmjF.28.2460","LmxM.28.2205,LmxM.28.2460"
"OrthoGroup_99",3,6,0.622,"LINF_180012100,LINF_180012200","LmjF.18.0670,LmjF.18.0680","LmxM.18.0670,LmxM.18.0680"
"OrthoGroup_100",3,6,0.62,"LINF_190005400,LINF_320009600","LmjF.19.0060,LmjF.32.0450","LmxM.19.0060,LmxM.31.0450"
"OrthoGroup_101",3,6,0.612,"LINF_270020500,LINF_270020600","LmjF.27.1380,LmjF.27.1390","LmxM.27.1380,LmxM.27.1390"
"OrthoGroup_102",3,6,0.556,"LINF_340014000,LINF_340014200","LmjF.34.0820,LmjF.34.0840","LmxM.33.0820,LmxM.33.0840"
"OrthoGroup_103",3,6,0.515,"LINF_150019500,LINF_150019600","LmjF.15.1203,LmjF.15.1207","LmxM.15.1203,LmxM.15.1207"
"OrthoGroup_104",3,6,0.506,"LINF_150009100,LINF_150009200","LmjF.15.0370,LmjF.15.0380","LmxM.15.0370,LmxM.15.0380"
"OrthoGroup_105",3,6,0.492,"LINF_100013850,LINF_100013900","LmjF.10.0710,LmjF.10.0715,LmjF.10.0720","LmxM.10.0720"
"OrthoGroup_106",3,6,0.491,"LINF_310025250,LINF_310025550,LINF_310025600","LmjF.31.1790,LmjF.31.1820","LmxM.30.1820"
"OrthoGroup_107",3,6,0.489,"LINF_140008900,LINF_140009000,LINF_140009100","LmjF.14.0390","LmxM.14.0390,LmxM.14.0400"
"OrthoGroup_108",3,6,0.475,"LINF_100009300,LINF_100009400","LmjF.10.0380,LmjF.10.0385,LmjF.10.0390","LmxM.10.0380"
"OrthoGroup_109",3,6,0.474,"LINF_110012400,LINF_110012500","LmjF.11.0670,LmjF.11.0673,LmjF.11.0675","LmxM.11.0670"
"OrthoGroup_110",3,6,0.473,"LINF_300035000,LINF_300035100,LINF_300035200","LmjF.30.2970,LmjF.30.2980","LmxM.29.2980"
"OrthoGroup_111",3,6,0.471,"LINF_180020600,LINF_180020700,LINF_180020800","LmjF.18.1510,LmjF.18.1520","LmxM.18.1520"
"OrthoGroup_112",3,6,0.429,"LINF_230018600,LINF_230018900","LmjF.23.1040,LmjF.23.1082,LmjF.23.1088","LmxM.23.1040"
"OrthoGroup_113",3,6,0.417,"LINF_310041000,LINF_020005000","LmjF.31.3190,LmjF.35.0010","LmxM.25.2460,LmxM.36.0010"
"OrthoGroup_114",3,6,0.403,"LINF_110013300,LINF_110013400","LmjF.11.0760,LmjF.11.0780","LmxM.11.0760,LmxM.11.0770"
"OrthoGroup_115",3,6,0.393,"LINF_360022400,LINF_360022500","LmjF.36.1610,LmjF.36.1620","LmxM.36.1620,LmxM.36.1610"
"OrthoGroup_116",3,6,0.329,"LINF_360015600,LINF_360015700","LmjF.36.0980,LmjF.36.0990","LmxM.36.0990,LmxM.36.0980"
"OrthoGroup_117",3,6,0.328,"LINF_020005200,LINF_250031700","LmjF.02.0030,LmjF.25.2440","LmxM.25.2440,LmxM.02.0030"
"OrthoGroup_118",3,6,0.325,"LINF_300043000,LINF_300043100","LmjF.30.3720,LmjF.30.3730","LmxM.29.3730,LmxM.29.3720"
"OrthoGroup_119",3,6,0.288,"LINF_060009400,LINF_060009600","LmjF.06.0410,LmjF.06.0415","LmxM.06.0410,LmxM.06.0415"
"OrthoGroup_120",3,6,0.285,"LINF_160015600","LmjF.16.1020,LmjF.16.1030,LmjF.16.1000","LmxM.16.1000,LmxM.16.1015"
"OrthoGroup_121",3,6,0.159,"LINF_310033500","LmjF.31.2530,LmjF.31.2520,LmjF.31.2540","LmxM.30.2520,LmxM.30.2530"
"OrthoGroup_122",3,6,0.145,"LINF_100005200,LINF_100021000","LmjF.10.1300,LmjF.10.0030","LmxM.10.1300,LmxM.10.0030"
"OrthoGroup_123",3,6,0.14,"LINF_310026500,LINF_310026600","LmjF.31.1870,LmjF.31.1880","LmxM.30.1870,LmxM.30.1880"
"OrthoGroup_124",3,6,0.128,"LINF_040012700,LINF_040012800","LmjF.04.0760,LmjF.04.0770","LmxM.04.0760,LmxM.04.0770"
"OrthoGroup_125",3,6,0.123,"LINF_060005800,LINF_060005900","LmjF.06.0080,LmjF.06.0090","LmxM.06.0090,LmxM.06.0080"
"OrthoGroup_126",3,6,0.119,"LINF_250010200,LINF_250010100","LmjF.25.0490,LmjF.25.0500","LmxM.25.0500,LmxM.25.0490"
"OrthoGroup_127",3,6,0.117,"LINF_260006200,LINF_260006000","LmjF.26.0075,LmjF.26.0115","LmxM.26.0075,LmxM.26.0115"
"OrthoGroup_128",3,6,0.117,"LINF_340013800,LINF_340013700","LmjF.34.0800,LmjF.34.0810","LmxM.33.0800,LmxM.33.0810"
"OrthoGroup_129",3,6,0.116,"LINF_190015100,LINF_190015200","LmjF.19.0995,LmjF.19.0985","LmxM.19.0995,LmxM.19.0985"
"OrthoGroup_130",3,5,0.595,"LINF_020012400,LINF_270033830","LmjF.02.0710,LmjF.27.2630","LmxM.02.0710"
"OrthoGroup_131",3,5,0.592,"LINF_320036700,LINF_320036800","LmjF.32.2950","LmxM.31.2950,LmxM.31.2951"
"OrthoGroup_132",3,5,0.583,"LINF_240018000","LmjF.24.1250,LmjF.24.1280","LmxM.24.1250,LmxM.24.1280"
"OrthoGroup_133",3,5,0.583,"LINF_310021800","LmjF.31.1450,LmjF.31.1460","LmxM.30.1450,LmxM.30.1460"
"OrthoGroup_134",3,5,0.581,"LINF_140014400,LINF_140014500","LmjF.14.0850","LmxM.14.0850,LmxM.14.0851"
"OrthoGroup_135",3,5,0.581,"LINF_150008100,LINF_150008200","LmjF.15.0280","LmxM.15.0275,LmxM.15.0281"
"OrthoGroup_136",3,5,0.579,"LINF_160009500,LINF_160009900","LmjF.16.0440,LmjF.16.0480","LmxM.16.0480"
"OrthoGroup_137",3,5,0.578,"LINF_280015200,LINF_300041700","LmjF.28.0960","LmxM.28.0960,LmxM.29.3590"
"OrthoGroup_138",3,5,0.575,"LINF_140012400,LINF_140012500","LmjF.14.0680","LmxM.14.0680,LmxM.14.0685"
"OrthoGroup_139",3,5,0.574,"LINF_300020200","LmjF.30.1500,LmjF.30.1510","LmxM.29.1500,LmxM.29.1510"
"OrthoGroup_140",3,5,0.574,"LINF_310026700,LINF_310028200","LmjF.31.1890,LmjF.31.2020","LmxM.30.2020"
"OrthoGroup_141",3,5,0.573,"LINF_110018150,LINF_110018350","LmjF.11.1220,LmjF.11.1250","LmxM.11.1220"
"OrthoGroup_142",3,5,0.571,"LINF_020012300,LINF_270033800","LmjF.02.0700,LmjF.27.2620","LmxM.02.0700"
"OrthoGroup_143",3,5,0.57,"LINF_010009200,LINF_010009300","LmjF.01.0410,LmjF.01.0420","LmxM.01.0410"
"OrthoGroup_144",3,5,0.57,"LINF_100005100,LINF_100021100","LmjF.10.0020,LmjF.10.1310","LmxM.10.1310"
"OrthoGroup_145",3,5,0.569,"LINF_260005800,LINF_260006100","LmjF.26.0060,LmjF.26.0100","LmxM.26.0060"
"OrthoGroup_146",3,5,0.569,"LINF_300040700,LINF_300040900","LmjF.30.3490,LmjF.30.3510","LmxM.29.3490"
"OrthoGroup_147",3,5,0.567,"LINF_030009000,LINF_030009100","LmjF.03.0430,LmjF.03.0440","LmxM.03.0440"
"OrthoGroup_148",3,5,0.567,"LINF_250017900,LINF_250018000","LmjF.25.1170,LmjF.25.1180","LmxM.25.1170"
"OrthoGroup_149",3,5,0.567,"LINF_300040800,LINF_300041000","LmjF.30.3500,LmjF.30.3520","LmxM.29.3500"
"OrthoGroup_150",3,5,0.566,"LINF_060019200,LINF_220005000","LmjF.06.1300,LmjF.22.0010","LmxM.22.0010"
"OrthoGroup_151",3,5,0.566,"LINF_260005900,LINF_260006150","LmjF.26.0070,LmjF.26.0110","LmxM.26.0070"
"OrthoGroup_152",3,5,0.565,"LINF_010012800,LINF_010012900","LmjF.01.0770,LmjF.01.0780","LmxM.01.0770"
"OrthoGroup_153",3,5,0.564,"LINF_220013000,LINF_220014200","LmjF.22.0710,LmjF.22.0830","LmxM.22.0710"
"OrthoGroup_154",3,5,0.558,"LINF_330032500","LmjF.30.0330,LmjF.33.2350","LmxM.29.0330,LmxM.32.2350"
"OrthoGroup_155",3,5,0.555,"LINF_190019300,LINF_190019600","LmjF.19.1340,LmjF.19.1345","LmxM.19.1345"
"OrthoGroup_156",3,5,0.399,"LINF_270027400","LmjF.27.2030","LmxM.27.2030,LmxM.27.2031,LmxM.27.2032"
"OrthoGroup_157",3,5,0.393,"LINF_120015000","LmjF.12.0920,LmjF.12.0910","LmxM.12.0860,LmxM.12.0910"
"OrthoGroup_158",3,5,0.392,"LINF_320047050","LmjF.05.1230,LmjF.19.1650,LmjF.32.3990","LmxM.31.3990"
"OrthoGroup_159",3,5,0.389,"LINF_270020800,LINF_270021000,LINF_270021200","LmjF.27.1430","LmxM.27.1430"
"OrthoGroup_160",3,5,0.387,"LINF_100011200","LmjF.10.0470","LmxM.10.0405,LmxM.10.0460,LmxM.10.0465"
"OrthoGroup_161",3,5,0.384,"LINF_270020900,LINF_270021100,LINF_270021300","LmjF.27.1440","LmxM.27.1440"
"OrthoGroup_162",3,5,0.382,"LINF_140020100","LmjF.14.1370.1,LmjF.14.1370.2,LmjF.14.1370.3","LmxM.14.1370"
"OrthoGroup_163",3,5,0.38,"LINF_270033860","LmjF.01.0830,LmjF.02.0740,LmjF.27.2660","LmxM.02.0740"
"OrthoGroup_164",3,5,0.374,"LINF_190013760","LmjF.19.0840,LmjF.19.0844,LmjF.19.0848","LmxM.19.0870"
"OrthoGroup_165",3,5,0.299,"LINF_300019700","LmjF.30.1430,LmjF.30.1410","LmxM.29.1420,LmxM.29.1410"
"OrthoGroup_166",3,5,0.197,"LINF_270012800,LINF_310008500","LmjF.27.0680,LmjF.31.0320","LmxM.27.0680"
"OrthoGroup_167",3,5,0.196,"LINF_210028700,LINF_170022200","LmjF.17.1470,LmjF.21.1880","LmxM.17.1470"
"OrthoGroup_168",3,5,0.185,"LINF_340022400,LINF_340022500","LmjF.34.1520,LmjF.34.1530","LmxM.33.1520"
"OrthoGroup_169",3,5,0.179,"LINF_340015500,LINF_340015800,LINF_340015900","LmjF.34.0500","LmxM.33.0961"
"OrthoGroup_170",3,5,0.174,"LINF_080012800","LmjF.08.0820,LmjF.08.0800,LmjF.08.0840","LmxM.08.0840"
"OrthoGroup_171",3,5,0.154,"LINF_350050100,LINF_350050000","LmjF.35.4420,LmjF.35.4430","LmxM.34.4430"
"OrthoGroup_172",3,4,0.5,"LINF_310007400","LmjF.31.0220","LmxM.30.0220,LmxM.30.0221"
"OrthoGroup_173",3,4,0.499,"LINF_260005100","LmjF.26.0010","LmxM.26.0010,LmxM.26.0010a"
"OrthoGroup_174",3,4,0.499,"LINF_330034000","LmjF.33.2480.1,LmjF.33.2480.2","LmxM.32.2480"
"OrthoGroup_175",3,4,0.498,"LINF_310025300","LmjF.31.1800","LmxM.30.1800,LmxM.30.1800a"
"OrthoGroup_176",3,4,0.497,"LINF_190021300","LmjF.19.1480,LmjF.19.1500","LmxM.19.1480"
"OrthoGroup_177",3,4,0.496,"LINF_350005300,LINF_350005400","LmjF.35.0030","LmxM.34.0030"
"OrthoGroup_178",3,4,0.494,"LINF_050016000","LmjF.05.1070","LmxM.05.1070,LmxM.05.1070a"
"OrthoGroup_179",3,4,0.494,"LINF_170009700","LmjF.17.0340.1,LmjF.17.0340.2","LmxM.17.0340"
"OrthoGroup_180",3,4,0.494,"LINF_190017800","LmjF.19.1240.1,LmjF.19.1240.2","LmxM.19.1240"
